Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
Customer Support Centre Engineer,"1,001-5,000 employees ", Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/16/2023,"Analytical Skills, Communication, Problem Solving, Technical Communication, and Technical Support,Attention to Detail, Computer Science, Customer Support, Customer-Focused Service, and English"
Customer Support Engineer,"501-1,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"C#, Customer Experience Management, Customer Support, Doctrine (PHP), Escalation Process, PHP, REST APIs, and Ruby,"
Customer Support Representative,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Communication, Problem Solving, and Technical Support,Customer Experience, Customer Support, English, Performance Metrics, Phone Etiquette, Russian, and System Performance"
Customer Support Specialist,"10,001+ employees ", Government Administration,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/28/2023,"Analytical Skills, Communication, and Technical Support,Accounting Standards, Cultural Awareness, Customer Service, Professional Skills, Service-Level Agreements (SLA), ServiceNow, and Skilled Multi-tasker"
Data Analyst,"10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,12/19/2023,"Computer Science, Google Sheets, Key Performance Indicators, Root Cause, Statistical Analysis, and Visualization,"
Data Analyst,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/23/2023,"A/B Testing, Action Research, Marketing Analytics, Mathematical Statistics, Mathematics, and Probability Theory,Analytics, Data Analytics, Data Collection, and Databases"
Data Analyst,"1,001-5,000 employees ", Computers and Electronics Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Dashboards, Data Modeling, Key Performance Indicators, Pivot Tables, and Visualization,"
Data Analyst,"5,001-10,000 employees ", Internet Marketplace Platforms,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/2/2023,"Business Insights, Google BigQuery, Online Marketing, Presentations, Query Writing, Root Cause, and Visualization,Analytics, Communication, and Data Analytics"
Data Analyst,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Analytical Skills, Data Visualization, Python (Programming Language), and SQL,High Level Of Accuracy, SAS (Programming Language), Skilled Multi-tasker, Stakeholder Management, and Time Management"
Data Analyst,"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,1/3/2024,"Dashboards, Key Metrics, Mathematics, Oral Communication, Statistical Analysis, and Unstructured Data,"
Data Analyst,11-50 employees, IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/21/2023,"Analytical Skills · Analytics · Big Data · Data Analysis · Data Analytics · Data Mining · SQL · Ad Hoc Analysis · Mathematics · Statistics,Analytical Skills · Analytics · Big Data · Data Analysis · Data Analytics · Data Mining · SQL · Ad Hoc Analysis · Mathematics · Statistics"
Data Analyst,"5,001-10,000 employees ", Staffing and Recruiting,Shah Alam, Selangor, Malaysia,1/10/2024,"Contract Negotiation, Human Resources (HR), Interviewing, Procurement, Purchasing, Recruiting, Sourcing, and Strategic Sourcing,Teamwork"
Data Analyst,11-50 employees , Outsourcing and Offshoring Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/21/2023,"Applied Mathematics, Computer Science, Data Architecture, Data Modeling, and Presentations,"
Data Analyst,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Microsoft Excel,Microsoft Excel"
Data Analyst,"1,001-5,000 employees ", Computers and Electronics Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/29/2023,"Dashboards, Data Modeling, Key Performance Indicators, Pivot Tables, and Visualization,Analytics, Critical Thinking, Data Analysis, Data Analytics, and Data Visualization"
"Data Analyst, Asia","501-1,000 employees ", Insurance,Petaling Jaya, Selangor, Malaysia,1/4/2024,"Budgeting & Forecasting, Business Analysis, Business Insights, Data Integrity, Database Tools, Key Metrics, Reporting Requirements, and Reporting Systems,Data Analytics and User Requirements"
Data Center Customer Operations Engineer,"5,001-10,000 employees ", Internet Publishing,Cyberjaya, Selangor, Malaysia,1/4/2024,"Cable Management, Customer Satisfaction, Data Center Infrastructure, Layer 2, Layer 3, Queue Management, and Troubleshooting,Cable Management, Customer Satisfaction, Data Center Infrastructure, Layer 2, Layer 3, Queue Management, and Troubleshooting"
Data engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Apache Spark, Data Manipulation, Documentation, Extract, Transform, Load (ETL), Pandas (Software), and Query Writing,Data Analysis, Data Analytics, Data Engineering, and Data Science"
Data engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Apache Spark, Data Manipulation, Documentation, Extract, Transform, Load (ETL), Pandas (Software), and Query Writing,"
Data Engineer,"1,001-5,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Apache Kafka, Cultural Diversity, Interpersonal Skills, JMeter, Java, Object-Oriented Programming (OOP), Postman API, and Programming Languages,"
Data Engineer,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,1/2/2024,"Data Warehousing, Extract, Transform, Load (ETL), Stored Procedures, and XML,Data Engineering, Data Science, Databases, and SQL"
Data Engineering,"10,001+ employees ", Semiconductor Manufacturing,Seremban, Negeri Sembilan, Malaysia,11/30/2023,"Problem Solving · Databases · SQL · Big Data · Data Analysis · Technical Documentation · Critical Thinking · Data Analytics · Thinking Skills · Spotfire,"
Data Labelling Agent,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Communication · Problem Solving · Critical Thinking · English · Annotation,Communication · Problem Solving · Critical Thinking · English · Annotation"
Data Modeler,201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,1/8/2024,"Data Ingestion, Data Modeling, Data Models, Extract, Transform, Load (ETL), Metadata, Metadata Management, Modeler, and Modeling,Databases and RDBMS"
"Data Officer, Project Tekai",51-200 employees , Non-profit Organizations,Kuantan,Pahang, Malaysia,11/15/2023,"Biological Monitoring, Briefing, Bulletins, Cameras, Data Recording, Debriefing, Field Work, Malay, Professional Conduct, and Quantum GIS,Biological Monitoring, Briefing, Bulletins, Cameras, Data Recording, Debriefing, Field Work, Malay, Professional Conduct, and Quantum GIS"
Data Operations Specialist,"501-1,000 employees", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Data Engineering,Attention to Detail, Cloud Applications, Cloud Infrastructure, Data Operations, Data Pipelines, Google Cloud Platform (GCP), Learning, Operations, and Operations Support"
"Data Quality Assurance, Specialist",201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,12/1/2023,"Data Mapping, Data Marts, Data Verification, Emerging Trends, Scenario Testing, and Troubleshooting,"
Data Scientist,"501-1,000 employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/22/2023,"MATLAB, Machine Learning, Modeling, Natural Language Processing (NLP), Optimization, Predictive Analytics, and Unsupervised Learning,Analytical Skills, Data Science, and Python (Programming Language)"
Data Scientist (Analytics),"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,1/12/2024,"Computer Science, Key Metrics, Natural Language Processing (NLP), Predictive Analytics, and Unstructured Data,"
Data Scientist (Machine Learning),"501-1,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Elasticsearch, Hadoop, MongoDB, Python (Programming Language), and SQL,D3.js, MATLAB, Machine Learning, Statistical Modeling, and Weka"
"Data Scientist, Asia","501-1,000 employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Apache Pig, Data Preparation, Datasets, Experimental Design, Hive, Presentations, Quantitative Data, and R (Programming Language),"
Data Services - Master Data Management,"10,001+ employees ", Chemical Manufacturing,Petaling Jaya, Selangor, Malaysia,12/16/2023,"Conceptual Ability, Data Governance, Easily Adaptable, Oracle Meter Data Management (MDM), Process Analysis, SAP MDM, SAP Products, Statutory Accounting Principles (SAP), and Usability,Data Management"
Data Test Analyst,11-50 employees , Human Resources Services,Ipoh, Perak, Malaysia,12/4/2023,"Data Models, Data Warehousing, Extract, Transform, Load (ETL), Integration Testing, Manual Testing, Stakeholder Management, and Warehouse Operations,"
Database Admin,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"DCL, DDL, MySQL, PostgreSQL, and Replication (Computing),Database Administration, Databases, MongoDB, NoSQL, and RDBMS"
Database Administrator,"10,001+ employees ", Chemical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Customer Service, Database Design, Documentation, Microsoft SQL Server, Operations Support, Oracle Database, and Troubleshooting,Database Administration, Databases, and SQL"
Delivery Consultant,201-500 employees , Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Communication, Databases, and Problem Solving,Candidate Management, Defining Requirements, Ocean, Performance Motivation, Relationship Building, Relationship Development, and Tech Savy"
Departmental Secretary,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia ,1/4/2024,"Company Secretarial Work, Computer Literacy, Debtors, English, File Systems, Internet Savvy, Interpersonal Communication, Travel Arrangements, and Typing,Communication"
Departmental Secretary,"1,001-5,000 employees ", Construction,Puchong, Selangor, Malaysia,12/27/2023,"AutoCAD, Electrical Engineering, Engineering, Microsoft Office, and Problem Solving,Attention to Detail, Building Performance, Compliance Auditing, Contract Management, and M&E"
Departmental Secretary,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/13/2023,"Company Secretarial Work, Computer Literacy, English, Internet Savvy, Interpersonal Communication, Travel Arrangements, Typing, and Web Conferencing,"
Developer,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Acceptance Testing, Cascading Style Sheets (CSS), Ember.js, Front-End Development, JSON, Java, and Written Communication,"
DevOps Engineer,"501-1,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Software Development,Bitbucket, CentOS, DevOps, Kubernetes, PAYG, Red Hat Enterprise Linux (RHEL), SELinux, Shell Scripting, and Software Deployment"
DevOps Engineer - Java,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Cyberjaya, Selangor, Malaysia,12/23/2023,"DevOps, Jira, Kubernetes, Linux System Administration, Maven, Nginx, Technical Design, and Terraform,Python (Programming Language) and SQL"
Digital Forensics Incident Responder,201-500 employees , Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/12/2023,"Communication and Problem Solving,Attention to Detail, Communication Training, Computer Forensics, Computer Science, Digital Forensics, Incident Response, Root Cause, and Security Training"
Digital Sales Associate,51-200 employees, Marketing Services,Johor Bahru, Johor, Malaysia,1/12/2024,"Campaigns, Digital Sales, Digital Technology, Lead Generation, Marketing, Marketing Campaigns, Outreach Services, Sales, Sales Processes, and Sales Target Management,"
Digital Solutions Engineer,"501-1,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Project Management · Problem Solving · Communication · Optical Character Recognition (OCR) · Process Automation,Project Management · Problem Solving · Communication · Optical Character Recognition (OCR) · Process Automation"
Direct Response Copywriter,11-50 employees, Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Advertising, Compensation, Copywriting, Direct Response Marketing, Facebook Ads, Landing Pages, Psychology, Search Engine Optimization (SEO), Strategic Thinking, and Writing,Advertising, Compensation, Copywriting, Direct Response Marketing, Facebook Ads, Landing Pages, Psychology, Search Engine Optimization (SEO), Strategic Thinking, and Writing"
Document and Product Controller,"1,001-5,000 employees ", Medical Equipment Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/30/2023,"Engineering, Microsoft Office, Project Management, Project Teams, and Site Management,Industrial Engineering, Performance Management, Project Coordination, Project Documentation, and Request for Information (RFI)"
Duty Engineer,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,1/8/2024,"Microsoft PowerPoint,Articulate Storyline, Camtasia, Content Design, Instructional Design, Learning Management, Learning Management Systems, and Training Manuals"
EHS Engineer,"10,001+ employees ", Semiconductor Manufacturing,Kulim, Kedah, Malaysia,1/6/2024,"Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health,Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health"
EHS Engineer,"10,001+ employees ", Semiconductor Manufacturing,Kulim, Kedah, Malaysia,12/19/2023,"Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health,Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health"
EHS Engineer,"10,001+ employees ", Semiconductor Manufacturing,Ipoh, Perak, Malaysia,11/28/2023,"Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health,Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health"
Electrical Engineer,51-200 employees , IT Services and IT Consulting,Puchong, Selangor, Malaysia,12/14/2023,"Electrical Engineering,Electrical Design, Power Distribution, and Troubleshooting"
Electronic Engineer,51-200 employees , IT Services and IT Consulting,Kulim, Kedah, Malaysia,12/11/2023,"Electronic Engineering, Electronics, Microcontrollers, Power Electronics, Printed Circuit Board (PCB) Design, Testing, and Troubleshooting,Electrical Engineering"
E-mail Security Architect,51-200 employees, Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/6/2023,"Communication Protocols, Design Documents, Domain Name System (DNS), Email Security, Proofpoint, Root Cause, Root Cause Analysis, SPF, Sandboxing, and Spam Filtering,Communication Protocols, Design Documents, Domain Name System (DNS), Email Security, Proofpoint, Root Cause, Root Cause Analysis, SPF, Sandboxing, and Spam Filtering"
Engineer,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan,Pulau Pinang, Malaysia,12/12/2023,"Communication, Electrical Engineering, Materials Science, and Quality Assurance,Applied Physics, Chemical Engineering, JMP, Organization Skills, Reliability, and Reliability Testing"
"Engineer 1, Quality Engineering","10,001+ employees ", Semiconductor Manufacturing,Penang,Pulau Pinang, Malaysia,1/10/2024,"Complaint Management, Corrective Actions, Customer Satisfaction, Failure Mode and Effects Analysis (FMEA), Manufacturing Processes, Preventive Actions, and Quality Engineering,Problem Solving, Quality Assurance, and Quality Auditing"
Engineer I,"1,001-5,000 employees ", Hospitals and Health Care,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/13/2024,"Cascading Style Sheets (CSS),Teamwork"
Engineer I,1-10 employees, Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/10/2023,"Cascading Style Sheets (CSS),Teamwork"
Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/10/2023,"Cascading Style Sheets (CSS),Teamwork"
Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/23/2023,"Teamwork,Healthcare, Hospital Management, Interpersonal Communication, Nursing, Orthopedics, Relationship Building, Scrub, and Self-Management"
Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/8/2023,"Cascading Style Sheets (CSS),Teamwork"
Engineer Quality Compliance,"10,001+ employees ", Medical Equipment Manufacturing,Johor Bahru, Johor, Malaysia,1/9/2024,"Quality Control · Quality Assurance · Complaint Investigations,Quality Control · Quality Assurance · Complaint Investigations"
Engineer Quality Service Centre,"10,001+ employees ", Semiconductor Manufacturing,Penang,Pulau Pinang, Malaysia,12/28/2023,"Quality Assurance, Quality Auditing, Quality Control, and Quality Management,Clutter Control, Failure Mode and Effects Analysis (FMEA), Feed-in Tariffs (FIT), JEDEC, Production Part Approval Process (PPAP), and Subject Matter Experts"
Engineer Technical Services,"10,001+ employees ", Professional Services,Petaling Jaya, Selangor, Malaysia,1/10/2024,"Analytical Instruments, Customer Satisfaction, English, Maintenance and Repair, Technical Services, and Troubleshooting,Analytical Skills and Technical Support"
"Engineer, Change Management","10,001+ employees ", Semiconductor Manufacturing,Muar, Johor, Malaysia,12/7/2023,"Change Control, Change Readiness, Malay, Multitasking, and Troubleshooting,Communication and Problem Solving"
"Engineer, Customer Quality Assurance","1,001-5,000 employees ", Industrial Machinery Manufacturing,Sungai Buloh, Selangor, Malaysia,1/7/2024,"Communication · ISO 9001 · ISO Standards · OHSAS 18001 · Product Quality · Quality Assurance · Corrective and Preventive Action (CAPA) · Customer Quality · Mechatronics · Physics,Communication · ISO 9001 · ISO Standards · OHSAS 18001 · Product Quality · Quality Assurance · Corrective and Preventive Action (CAPA) · Customer Quality · Mechatronics · Physics"
"Engineer, Product (Marketing)","1,001-5,000 employees ", Industrial Machinery Manufacturing,Sungai Buloh, Selangor, Malaysia,1/9/2024,"Communication and Project Management,Interpersonal Skills, Market Research, Marketing Strategy, Material Handling, Mechatronics, Product Launch, Product Training, and Sales"
Engineering Coordinator,"10,001+ employees ", Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,1/3/2024,"Purchase Orders,Teamwork"
Engineering Coordinator,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia ,1/11/2024,"Company Presentations, Memos, Mouse, Presentations, Proofreading, Reservations, Team Leadership, and Word Processing,Communication and Teamwork"
Executive - Credit Management,"1,001-5,000 employees ", Financial Services,Subang Jaya, Selangor, Malaysia,1/5/2024,"Accounts Receivable (AR), Credit, Credit Analysis, Credit Management, Credit Risk Management, Marketing, Negotiation, and Team Leadership,Analytical Skills and Teamwork"
Executive Administrative Assistant,11-50 employees , IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Critical Thinking,Administrative Assistance, Budget Tracking, Calendars, Communication Training, Deadline Oriented, Executive Support, Expense Reports, Partner Relationship Management, and Travel Arrangements"
"Executive, Account Management","1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Analytical Skills, Communication, and Microsoft Excel,Customer Experience, English, Finance, Interpersonal Communication, Root Cause, Sales Performance, and Solution-oriented"
"Executive, Account Payable","1,001-5,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Accounting Standards, Accounts Payable (AP), English, Office Application, Service-Level Agreements (SLA), Statutory Accounting Principles (SAP), and Writing,"
"Executive, CRM","1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Business Relationship Management, Campaign Effectiveness, Campaigns, Copywriting, Customer Experience, Digital Marketing, Digital Technology, Marketing Campaign Effectiveness, and Marketing Campaigns,Critical Thinking"
"Executive, FAR","10,001+ employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Accounting Standards, Association of Chartered Certified Accountants (ACCA), Certified Public Accounting, Finance, General Ledger Maintenance, Insurance Industry, Month-End Close Process, Regulatory Reporting, Reporting Requirements, and Statutory,Accounting Standards, Association of Chartered Certified Accountants (ACCA), Certified Public Accounting, Finance, General Ledger Maintenance, Insurance Industry, Month-End Close Process, Regulatory Reporting, Reporting Requirements, and Statutory"
"Executive, Field Sales","10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Subang Jaya, Selangor, Malaysia ,1/3/2024,"Customer Relations, Customer Satisfaction, Enquiries, Forwarding, Freight, Freight Forwarding, Negotiation, Presentations, and Sales,Communication"
"Executive, Planning Strategy",201-500 employees , Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Analytical Skills, Communication, Problem Solving, Skill Development, and Teamwork,Certified Information Security Manager (CISM), Computer Science, SABSA, Stakeholder Management, and TOGAF"
"Executive, Planning Strategy",201-500 employees , Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Analytical Skills, Communication, Problem Solving, Skill Development, and Teamwork,Analytical Skills, Communication, Problem Solving, Skill Development, and Teamwork"
Experience Customer Experience Professional,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Credit Control, Customer Experience, Customer Satisfaction, Customer Satisfaction (CSAT), Key Performance Indicators, Order Management, Sales and Marketing, Statutory Accounting Principles (SAP), and Third-Party Logistics (3PL),Communication"
Experience Customer Experience Professional,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Credit Control, Customer Experience, Customer Satisfaction, Customer Satisfaction (CSAT), Key Performance Indicators, Order Management, Sales and Marketing, Statutory Accounting Principles (SAP), and Third-Party Logistics (3PL),Communication"
Experienced Associate - Level 1 Support,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Customer Service, Customer-Focused Service, Documentation, Enquiries, System Performance, and Troubleshooting,"
Experienced Associate - Level 1 Support - AI & Data,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/29/2023,"Customer Service, Customer-Focused Service, Documentation, Enquiries, System Performance, and Troubleshooting,Communication, Data Analytics, Problem Solving, and Quality Assurance"
Expression of Interest,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Teamwork · Communication · Coaching,Teamwork · Communication · Coaching"
Facilities Coordinator,"10,001+ employees ", Real Estate,Bayan Lepas,Pulau Pinang, Malaysia,11/30/2023,"Building Management, Facilities Operations, Key Performance Indicators, New Product Rollout, Procurement, Property Management, Service Delivery, Service Levels, Service-Level Agreements (SLA), and Vendor Management,Building Management, Facilities Operations, Key Performance Indicators, New Product Rollout, Procurement, Property Management, Service Delivery, Service Levels, Service-Level Agreements (SLA), and Vendor Management"
Factory Compliance Analyst,"10,001+ employees ", Retail Apparel and Fashion,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Analytical Skills, Problem Solving, and Software Development,C#, Computer Science, System Administration, Systems Engineering, Technical Specs, Troubleshooting, and Windows Desktop Administration"
Factory Operations Coordinator,"10,001+ employees ", Semiconductor Manufacturing,Perai,Pulau Pinang, Malaysia,12/27/2023,"Communication,Administrative Assistance, Capacity Planning, Corrective Actions, New Product Rollout, Office Administration, Output, PPV, Rework, and Spares"
Failure Analysis Engineer,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang,Pulau Pinang, Malaysia,1/3/2024,"Corrective Actions, Failure Analysis, Reliability, Root Cause, and Scanning Electron Microscopy (SEM),Problem Solving"
Field Application Engineer,"501-1,000 employees", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/30/2023,"Business Rules, Change Requests, Data Dictionary, Data Governance, Data Validation, English, Master Data, and Master Data Management,"
Field Applications Program ,"10,001+ employees ", Semiconductor Manufacturing,Penang,Pulau Pinang, Malaysia,12/20/2023,"Problem Solving,Debugging, Field Applications, Hardware Diagnostics, Oscilloscope, Presentation Skills, Presentations, Product Selection, Schematic, and Soldering"
Field Engineer,"10,001+ employees ", Oil and Gas,Johor Bahru, Johor, Malaysia,12/20/2023,"As-built Documentation, Building Materials, Consumables, Contract Requirements, Corrective Actions, Job Safety Analysis, and Project Coordination,Communication, Problem Solving, and Technical Support"
Field Engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/2/2023,"Budget Control, Interpersonal Skills, Organization Skills, Quality Control Management, Schedule Control, Scopes Of Work, and Subcontracts,Communication, Quality Control, and Technical Support"
Finance Analyst,"10,001+ employees ", Consumer Services,Petaling Jaya, Selangor, Malaysia,1/3/2024,"A&P, CMF, Cash Flow, Commentaries, Economics, Finance, Financial Accounting, Financial Modeling, Forecasting, and Variance Analysis,A&P, CMF, Cash Flow, Commentaries, Economics, Finance, Financial Accounting, Financial Modeling, Forecasting, and Variance Analysis"
Finance Analyst,"10,001+ employees ", Semiconductor Manufacturing,Tanjong Tualang, Perak, Malaysia,12/27/2023,"Communication,Account Reconciliation, Accounting Standards, Accounts Receivable (AR), Association of Chartered Certified Accountants (ACCA), Cash Collection, Computation, Computer Literacy, Data Entry, and Ledger Management"
Finance Analyst (AP),"10,001+ employees ", Semiconductor Manufacturing,Tanjong Tualang, Perak, Malaysia,1/9/2024,"Communication and Problem Solving,Account Reconciliation, Accounts Payable (AP), Attention to Detail, Budgeting, Economics, Purchase Orders, Unit Pricing, and Use Tax"
Finance Assistant ,"501-1,000 employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/7/2024,"Accounts Payable (AP), Accounts Receivable (AR), Bookkeeping, Gross Profit Analysis, Journal Entries (Accounting), Ledger Management, Payroll Administration, Purchase Ledgers, Sales Ledger, and Statutory,Accounts Payable (AP), Accounts Receivable (AR), Bookkeeping, Gross Profit Analysis, Journal Entries (Accounting), Ledger Management, Payroll Administration, Purchase Ledgers, Sales Ledger, and Statutory"
Finance Associate,"10,001+ employees ", Civil Engineering,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Accounts Payable (AP), Cantonese, Enquiries, Finance, Invoice Processing, Knowledge Sharing, Organization Skills, Recon, Service-Oriented Architecture (SOA), and Workload Prioritization,Accounts Payable (AP), Cantonese, Enquiries, Finance, Invoice Processing, Knowledge Sharing, Organization Skills, Recon, Service-Oriented Architecture (SOA), and Workload Prioritization"
Finance Coordinator,1-10 employees , Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Accounting Software, Communication, and Problem Solving,Accounting Standards, Adaptation, Budgeting, Communication Training, Malay, Presentations, and Sage Products"
Finance Positions,"10,001+ employees ", Chemical Manufacturing,Petaling Jaya, Selangor, Malaysia,11/27/2023,"Communication and Teamwork,Career Counseling and Coaching"
Financial Operations Coordinator,51-200 employees, Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives,Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives"
Fresh Graduate Development Program (FGDP),"10,001+ employees ", Semiconductor Manufacturing,Penang,Pulau Pinang, Malaysia,11/28/2023,"Communication and Problem Solving,Documentation, Reliability, Reliability Testing, and Skilled Multi-tasker"
