,Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
102,Transaction Surveillance Analyst,"1,001-5,000 employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Analytical Skills, Communication, and Data Analysis,Anti-Money Laundering, Attention to Detail, Certification Testing, Counter-Terrorist Financing, Follow-through Skills, Knowledge Acquisition, and Surveillance"
103,Resume Deposit,"1,001-5,000 employees ", Chemical Manufacturing,Kulai, Johor, Malaysia,1/7/2024,"Analytical Skills · Teamwork · Research Skills · Research and Development (R&D) · Quality Control · Product Research,Analytical Skills · Teamwork · Research Skills · Research and Development (R&D) · Quality Control · Product Research"
104,System Support Specialist,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Cyberjaya, Selangor, Malaysia,1/5/2024,"Help Desk Support, Network Administration, System Administration, and Troubleshooting,Technical Support"
105,"Engineer, Change Management","10,001+ employees ", Semiconductor Manufacturing,Muar, Johor, Malaysia,12/27/2023,"Change Control, Change Readiness, Malay, Multitasking, and Troubleshooting,Communication and Problem Solving"
106,Application Development Associate,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/7/2023,"Software Development · Application Development · Analytical Skills · Communication · Computer Science · Written Communication,Software Development · Application Development · Analytical Skills · Communication · Computer Science · Written Communication"
107,System Analyst,"1,001-5,000 employees ", IT Services and IT Consulting,Bayan Lepas, Penang, Malaysia,12/1/2023,"Analytical Skills, Microsoft Excel, and Problem Solving,Computer Engineering, Computer Science, English, Reporting, Systems Analysis, Troubleshooting, and VBA Excel"
108,Project Engineer,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Selangor,Selangor, Malaysia,12/2/2023,"Computer Literacy, Interpersonal Skills, Malay, and Purchase Orders,Analytical Skills"
109,Service Desk Analyst,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,12/3/2023,"Customer Service, Interpersonal Communication, Interpersonal Skills, Korean, Oral Communication, and Service Desk,Analytical Skills, Communication, Problem Solving, and Technical Support"
110,Service Assurance Engineer,"1,001-5,000 employees ", Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Attention to Detail, DWDM, Interoperability, Layer 2, Multiprotocol Label Switching (MPLS), Network Engineering, Organization Skills, Synchronous Digital Hierarchy (SDH), and Team Motivation,Communication"
111,Associate – Corporate Restructuring,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"English, Interpersonal Skills, Presentations, Project Delivery, Report Writing, Restructuring, Sales Presentations, and Spoken English,Communication and Data Analytics"
112,"Analyst, Digital Distribution Solution-2","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Acceptance Testing, Business Requirements, Compatibility Testing, Computer Science, Malay, Software Testing, Stress Tolerance, and Test Cases,Communication and Software Development"
113,junior quantity surveyor,"10,001+ employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/31/2023,"Bill of Quantities (BOQ), Contract Management, FIDIC, Land Surveying, M&E, Quantity Surveying, Refurbishments, Surveying, Tender Preparation, and Timelines,Bill of Quantities (BOQ), Contract Management, FIDIC, Land Surveying, M&E, Quantity Surveying, Refurbishments, Surveying, Tender Preparation, and Timelines"
114,Technology Specialist,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/31/2023,"Computer Science, Data Center Management, Documentation, IT Operations, IT Operations Management, and Technically Competent,Communication"
115,Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/24/2023,"Cascading Style Sheets (CSS),Teamwork"
116,"Associate, Compliance Risk and Diligence","5,001-10,000 employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Compliance Management, Constructive Feedback, English, International Relations, Reading Comprehension, Thai, Vietnamese, and Workload Prioritization,Communication and Regulatory Compliance"
117,Associate Business,"5,001-10,000 employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/10/2023,"Analytical Skills, Auditing, Communication, and Problem Solving,Business Process, Computer Science, English, Mandarin, Mathematics, and Spoken English"
118,Application Engineer,"10,001+ employees ", Industrial Machinery Manufacturing,Petaling Jaya, Selangor, Malaysia,1/11/2024,"Communication,Communication"
119,Claims Processing Associate,"501-1,000 employees ", Insurance,Petaling Jaya, Selangor, Malaysia,1/10/2024,"Chinese, Credit Recovery, Customer Service, English, Financial Transaction Processing, Negotiation, and Written Communication,Analytical Skills, Communication, and Problem Solving"
120,Blockchain Security Engineer,"1,001-5,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Bitcoin, Data Privacy, Ethereum, Information Security, Risk Analysis, Root Cause, Security Information and Event Management (SIEM), Threat Modeling, and TypeScript,Back-End Web Development"
121,Engineer I,"1,001-5,000 employees ", Hospitals and Health Care,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/1/2024,"Cascading Style Sheets (CSS),Teamwork"
122,Talent Partner,"10,001+ employees ", Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/2/2023,"Consumer Goods, Continuous Process Improvement, Customer Service, Direct Sourcing, Human Resources (HR), Interpersonal Skills, Interviewing, Onboarding, and Recruiting,Communication"
123,Aspire Finannce,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Coaching, Coaching & Mentoring, Economics, English, Financial Planning, Investor Relations, and Mathematics,Analytical Skills, Communication, and Problem Solving"
124,Graduate Technical Programme,"10,001+ employees ", Semiconductor Manufacturing,Kulim, Kedah, Malaysia,12/25/2023,"Computer Literacy, Computer Science, and Interpersonal Communication,Communication and Problem Solving"
125,Partner Success Associate,"10,001+ employees ", Software Development,Subang Jaya, Selangor, Malaysia,1/8/2024,"Attention to Detail, Conversion Rate, Customer Conversion, Growth Strategies, Lead Generation, Market Research, Organization Skills, Persistence, and Presentation Skills,Communication"
126,Process Executive,"10,001+ employees ", IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,1/8/2024,"Data Management,English, Human Resources (HR), Interpersonal Relationships, Relationship Development, SAP ERP, SAP FICO, SAP Products, Termination of Employment, and Training and Development (HR)"
127,Application Support Engineer,"501-1,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"AWR, Application Support, Customer Satisfaction, Java Database Connectivity (JDBC), JavaServer Faces (JSF), Organization Skills, and Performance Tuning,Analytical Skills, Communication, and Technical Support"
128,"Regulatory Reporting, Specialist",201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,1/10/2024,"Cross-border Transactions, Finance, Financial Reporting, Interpersonal Communication, Regulatory Reporting, Reporting & Analysis, Reporting Requirements, and Statistical Reporting,Analytical Skills and Communication"
129,Analyst,"1,001-5,000 employees ", Financial Services,Taman Pulau Pinang, Penang, Malaysia,1/9/2024,"Analytical Skills · Communication,Analytical Skills · Communication"
130,"Analyst, Power Platform","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Business Requirements, Negotiation, Software Implementation, and Support Services,Analytical Skills and Communication"
131,"Associate, Cross Border","10,001+ employees ", Truck Transportation,Shah Alam, Selangor, Malaysia,12/27/2023,"Budget Preparation, Organization Skills, P&L review, Structured Thinking, Third Party Vendors, and Third-Party Logistics (3PL),Communication, Data Analysis, Data Analytics, and Problem Analysis"
132,Quality Engineer,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan, Penang, Malaysia,12/20/2023,"Clean Rooms, Clutter Control, Contamination Control, Mechanical Assemblies, and Troubleshooting,Problem Solving, Quality Assurance, and Quality Control"
133,Researcher,"10,001+ employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2023,"Communication and Research Skills,Administrative Assistance, Graduate Recruitment, Market Research, and Recruiting"
134,Sales Administrator,51-200 employees, Business Consulting and Services,Shah Alam, Selangor, Malaysia,12/22/2023,"Data Analytics,Administration, Business Administration, CRM Software, Customer Service, Digital Transformation, Enablement, Microsoft Modern Workplace, Order Processing, and Sales"
135,Associate - Business Continuity Management,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/22/2023,"Business Continuity Management (BCM), Business Continuity Planning, Continuity Management, Crisis, Crisis Management, Facilitation, ISO 22301, Management Information Systems (MIS), and Presentations,Communication"
136,"Engineer 1, Quality Engineering","10,001+ employees ", Semiconductor Manufacturing,Penang, Penang, Malaysia,12/5/2023,"Complaint Management, Corrective Actions, Customer Satisfaction, Failure Mode and Effects Analysis (FMEA), Manufacturing Processes, Preventive Actions, and Quality Engineering,Problem Solving, Quality Assurance, and Quality Auditing"
137,Coordinator-Admin,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/23/2023,"Administration, Administrative Assistance, Human Resources (HR), Marketing, Office Administration, Payroll, Public Speaking, and Training,Analytical Skills and Research Skills"
138,Data Analyst,"1,001-5,000 employees ", Computers and Electronics Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2024,"Dashboards, Data Modeling, Key Performance Indicators, Pivot Tables, and Visualization,Analytics, Critical Thinking, Data Analysis, Data Analytics, and Data Visualization"
139,Remote Engineer,"10,001+ employees ", IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,1/6/2024,"Customer Satisfaction, English, Japanese, Service Desk, Service Desk Management, and Written Communication,Communication"
140,Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/6/2024,"Business Requirements, Data Maintenance, Enquiries, Interpersonal Skills, Presentations, SAP FICO, Soft Skills, Statutory Accounting Principles (SAP), and Supplier Enablement,Communication"
141,Partner Success Associate,"10,001+ employees ", Software Development,Cyberjaya, Selangor, Malaysia,1/7/2024,"Collaborative Style, Gears, Lead Generation, Organization Skills, Persistence, Relationship Building, Sales Processes, Skilled Multi-tasker, and TeamMate,Communication"
142,QA Engineer,"10,001+ employees ", Manufacturing,Mukim 10 (Bukit Relau), Penang, Malaysia,12/13/2023,"API Testing, Clutter Control, Manual Testing, QA Engineering, Quality Engineering, and Test Cases,Quality Assurance and Test Planning"
143,Talent Advancement Program,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Business Process Improvement, Business Readiness, HR Strategy, Human Resources (HR), Patch Management, Program Control, Talent Management, and Vulnerability,Communication and Problem Solving"
144,Technical Support Engineer,"1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Computer Information Systems, Computer Science, Fiddler, Interpersonal Skills, Process Monitor, Support Engineers, and Troubleshooting,Communication, Problem Solving, and Technical Support"
145,"Consulting Associate, Business Financial Services","1,001-5,000 employees ", Business Consulting and Services,Petaling Jaya, Selangor, Malaysia,1/10/2024,"Due Diligence, Interpersonal Skills, Investment Banking, Presentation Skills, Presentations, and Research Projects,Communication, Data Collection, Microsoft PowerPoint, and Problem Solving"
146,PGDM VSG Engineer,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang, Penang, Malaysia,12/24/2023,"C#, Cascading Style Sheets (CSS), Dry Etching, Processes Development, Team Cohesion, Thin, Vacuum, and Vacuum Pumps,Communication and Teamwork"
147,Technology Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Computer Science, Information Technology, Java, JavaScript, Kotlin, Programming, and Support Systems,Communication, SQL, and Technical Requirements"
148,Independent Model Validation,201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,12/22/2023,"Computer Simulations, Data Validation, Model Validation, Modeling, Numerical Simulation, Regulatory Guidelines, and Unsupervised Learning,Analytical Skills, Data Analysis, and Data Analytics"
149,Credit Risk - Analyst,"10,001+ employees ", Pharmaceutical Manufacturing,Petaling Jaya, Selangor, Malaysia ,1/6/2023,"Celonis, Credit, Credit Risk Management, Finance, Financial Transaction Processing, MicroStrategy, Sarbanes-Oxley Act, and Statutory Accounting Principles (SAP),Critical Thinking and Risk Management"
150,Solution Engineer,51-200 employees, IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/23/2023,"Artificial Intelligence (AI),Azure Infrastructure as a Service (IaaS), Cloud Computing, DevOps, Infrastructure as a Service (IaaS), Kubernetes, Machine Learning, Microsoft 365, Presales, and Solution Architecture"
151,Grants & Business Development Specialist,"501-1,000 employees ", Higher Education,Subang Jaya, Selangor, Malaysia,1/6/2023,"Coordination Skills, Fundraising, Grant Administration, Oral Communication, Project Coordination, and Research Proposals,Communication"
152,Junior Game Design,51-200 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Documentation, English, Game Design, Game Development, and Web Design,Communication and Problem Solving"
153,"Analyst, Digital Distribution Solution","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Acceptance Testing, Business Requirements, Compatibility Testing, Malay, Software Testing, Stress Tolerance, Test Cases, and User Acceptance Testing,Communication and User Requirements"
154,Regional Data Analyst,"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,1/2/2024,"Dashboards, Experimental Design, Hive, Key Accounts, Media Evaluation, and Statistical Analysis,Analytics, Data Analytics, Data Science, and Data Visualization"
155,Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Blueprinting, Design Documents, Functional Analysis, Functional Configuration, Functional Design, Implementation Methodology, Process Design, Prototyping, Requirements Gathering, and System Configuration,Blueprinting, Design Documents, Functional Analysis, Functional Configuration, Functional Design, Implementation Methodology, Process Design, Prototyping, Requirements Gathering, and System Configuration"
156,Marketing & Events Coordinator,"1,001-5,000 employees ", Business Consulting and Services,Petaling Jaya, Selangor, Malaysia ,12/25/2023,"Adobe Illustrator, Advertising, Collateral, Event Planning, Landing Pages, Presentations, Press Kits, Project Delivery, Public Relations, and Strategic Thinking,Adobe Illustrator, Advertising, Collateral, Event Planning, Landing Pages, Presentations, Press Kits, Project Delivery, Public Relations, and Strategic Thinking"
157,Process Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Klang, Selangor, Malaysia,1/2/2023,"Chemical Engineering, Cooperation, Interpersonal Communication, Interpersonal Skills, Lean Processes, Optimization, Piping and Instrumentation Drawing (P&ID), Process Design, Process Optimization (Manufacturing), and Six Sigma Green Belt,Chemical Engineering, Cooperation, Interpersonal Communication, Interpersonal Skills, Lean Processes, Optimization, Piping and Instrumentation Drawing (P&ID), Process Design, Process Optimization (Manufacturing), and Six Sigma Green Belt"
158,Internet Safety Evaluator,"10,001+ employees ", IT Services and IT Consulting,Klang, Selangor, Malaysia,12/9/2023,"Teamwork,Accounting, Android, English, Gmail, Google Products, Malay, Remote Control, Social Media, and iOS"
159,Supply Chain Management Trainee,201-500 employees , Medical Equipment Manufacturing,Subang Jaya, Selangor, Malaysia ,12/21/2023,"Communication,Medical Devices, Order Fulfillment, Order Processing, SAP Products, SAP S/4HANA, and Supply Chain Management"
160,Coordinator-Admin,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/14/2023,"Administration, Administrative Assistance, Human Resources (HR), Marketing, Office Administration, Payroll, Public Speaking, and Training,Analytical Skills and Research Skills"
161,"Data Officer, Project Tekai",51-200 employees , Non-profit Organizations,Kuantan,Pahang, Malaysia,1/9/2024,"Biological Monitoring, Briefing, Bulletins, Cameras, Data Recording, Debriefing, Field Work, Malay, Professional Conduct, and Quantum GIS,Biological Monitoring, Briefing, Bulletins, Cameras, Data Recording, Debriefing, Field Work, Malay, Professional Conduct, and Quantum GIS"
162,Project Coordinator - Finance Operations,"5,001-10,000 employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Focal Point, Marketing, Project Coordination, Project Implementation, Strategy, and System Migration,Analytical Skills, Communication, Microsoft Project, and Project Management"
163,Tax Consulting Assistant,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/25/2023,"English, Financial Statements, Income Tax, Interpersonal Skills, Malay, Tax Accounting, Tax Advisory, and Tax Preparation,Accounting Software and Communication"
164,Principal Document Control Specialist,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Documentation, IDoc, Oil and Gas, Petrochemicals, Project Set-up, and Records Management,Communication, Document Management, and Quality Assurance"
165,Recruiter,"1,001-5,000 employees ", Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Communication,Candidates Searching, Human Resources (HR), Interpersonal Skills, Phone Screening, Recruiting, Screening Resumes, Sourcing, Talent Pipelining, and Target Driven"
166,Advanced Materials Engineer,"501-1,000 employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Corrosion, Failure Analysis, Gas Industry, Metallurgy, Oil and Gas, Oil and Gas Industry, Reliability, and Scanning Electron Microscopy (SEM),Material Selection and Materials Science"
167,IT Engineer,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan, Penang, Malaysia,1/9/2024,"C#, Computer Science, Deployment Management, Electronic Engineering, MES, QRM, Service Levels, Service-Level Agreements (SLA), Software Project Management, and Software Projects,C#, Computer Science, Deployment Management, Electronic Engineering, MES, QRM, Service Levels, Service-Level Agreements (SLA), Software Project Management, and Software Projects"
168,"Analyst, Digital Distribution Solution","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Acceptance Testing, Business Requirements, Compatibility Testing, Malay, Software Testing, Stress Tolerance, Test Cases, and User Acceptance Testing,Communication and User Requirements"
169,"Associate, Procurement Admin","10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,12/19/2023,"Administrative Assistance, Business Applications, Coordination Skills, Dispute Resolution, Easily Adaptable, Enquiries, Mandarin, Order Management, and Procurement,Communication"
170,Engineering Coordinator,"10,001+ employees ", Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,1/9/2024,"Purchase Orders,Teamwork"
171,Service Engineer,"10,001+ employees ", Motor Vehicle Manufacturing,Puchong, Selangor, Malaysia,1/5/2024,"Automation, English, Service Engineering, Serviceability, Technical Direction, and Technical Liaison,Communication, Problem Solving, Project Teams, and Technical Support"
172,Software Tester,"10,001+ employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/16/2023,"API Testing, Software Testing, Test Cases, Test Data, Test Execution, Test Requirements, and Test Scripts,Quality Assurance, Software Development, and Test Planning"
173,Engineer I,1-10 employees, Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Cascading Style Sheets (CSS),Teamwork"
174,Learning Specialist,"5,001-10,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/6/2023,"Microsoft PowerPoint,Articulate Storyline, Camtasia, Content Design, Instructional Design, Learning Management, Learning Management Systems, and Training Manuals"
175,Media Search Analyst,"10,001+ employees ", IT Services and IT Consulting,Johor Baharu, Johor, Malaysia,12/10/2023,"Communication, Research Skills, and Teamwork,Apple Products, Attention to Detail, Defining Requirements, Easily Adaptable, English, Online Content, and Online Research"
176,Associate,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Indirect Taxation, Routing Protocols, Tax Audits, Transfer Pricing, Value-Added Tax (VAT), Workflow Management, and Written Communication,Analytical Skills, Communication, and Problem Solving"
177,Associate,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/25/2023,"Indirect Taxation, Routing Protocols, Tax Audits, Transfer Pricing, Value-Added Tax (VAT), Workflow Management, and Written Communication,Analytical Skills, Communication, and Problem Solving"
178,QA Engineer,201-500 employees , Computer Games,Petaling Jaya, Selangor, Malaysia,12/26/2023,"Manual Testing, Performance Testing, Product Delivery, Scenario Testing, Software Testing, Test Cases, Test Scripts, and Testing Process,Quality Assurance and Test Planning"
179,PMO Coordinator,51-200 employees , Computer and Network Security,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Administrative Assistance, High Stress Environment, Interpersonal Skills, Pivot Tables, Project Plans, Soft Skills, Timelines, and Workshops,Analytical Skills and Communication"
180,Recruitment Coordinator,"1,001-5,000 employees ", Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/6/2023,"Communication and Data Analysis,Attention to Detail, International Recruitment, Recruiting, Relationship Development, and Talent Management"
181,Process Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/7/2023,"Chemical Engineering, Cooperation, Interpersonal Communication, Interpersonal Skills, Lean Processes, Optimization, Piping and Instrumentation Drawing (P&ID), Process Design, Process Optimization (Manufacturing), and Six Sigma Green Belt,Chemical Engineering, Cooperation, Interpersonal Communication, Interpersonal Skills, Lean Processes, Optimization, Piping and Instrumentation Drawing (P&ID), Process Design, Process Optimization (Manufacturing), and Six Sigma Green Belt"
182,Coordinator-Admin,51-200 employees , Hospitals and Health Care,Selangor,Selangor, Malaysia,12/22/2023,"Administration, Administrative Assistance, Human Resources (HR), Marketing, Office Administration, Payroll, Public Speaking, and Training,Analytical Skills and Research Skills"
183,HPC Engineer,"501-1,000 employees ", Construction,Putrajaya, Putrajaya Federal Territory, Malaysia,12/28/2023,"English, High Performance Computing (HPC), Linux System Administration, Lustre, Network File System (NFS), P&I, and Storage Systems,Analytical Skills, Communication, and Python (Programming Language)"
184,"Accounting, Compliance & Reporting, Associate","10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Accounting Standards, Compliance Management, Due Diligence, Mechanical Maintenance, Oral Communication, Statutory, and Tax Compliance,Communication, Problem Solving, and Regulatory Compliance"
185,Sustainability Officer,"10,001+ employees ", Real Estate,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Energy Conservation, Energy Management, English, Risk Assessment, Scopes, and Viability,Analytical Skills, Communication, Microsoft Excel, and Microsoft PowerPoint"
186,Customer Services Executive,"5,001-10,000 employees ", Food and Beverage Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/28/2023,"Communication and Problem Solving,Customer Service, English, General Administration, and Reporting"
187,Industrial Engineer,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan, Penang, Malaysia,12/29/2023,"Capacity Analysis, Capital Expenditures, Industrial Engineering, Optimization, Presentation Skills, Presentations, Production Planning, and Statistical Data Analysis,Analytical Skills and Communication"
188,Quality Control Engineer,"10,001+ employees ", Aviation and Aerospace Component Manufacturing,Subang Jaya, Selangor, Malaysia,12/29/2023,"Aviation Regulations, Maintenance and Repair, Technical Publication, and Written Communication,Communication, Problem Solving, Quality Assurance, and Quality Control"
189,M&E Engineer,"10,001+ employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Japanese, Mechanical, Electrical, and Plumbing (MEP), Project Performance, Project Supervision, Target Costing, and Time Constraints,Building Information Modeling (BIM), Communication, Electrical Engineering, and Modeling and Simulation"
190,Supervisor,"1,001-5,000 employees ", Construction,Taman Pulau Pinang, Penang, Malaysia,12/18/2023,"Computer Literacy, Fall Protection, Industrial Safety, Occupational Health, and Safety Awareness,Construction Safety, Environment, Health, and Safety (EHS), Industrial Hygiene, Microsoft PowerPoint, and Safety Training"
191,CRM Associate,"501-1,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Braze, Customer Engagement, Customer Experience, Customer Relationship Management (CRM), Gamification, Oracle Responsys, Organization Skills, Performance Metrics, Product Marketing, and Responsiveness,Braze, Customer Engagement, Customer Experience, Customer Relationship Management (CRM), Gamification, Oracle Responsys, Organization Skills, Performance Metrics, Product Marketing, and Responsiveness"
192,Applications Engineer,"1,001-5,000 employees ", Machinery Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Automation and Computer Literacy,Analytical Skills and Communication"
193,Optimization Engineer,"501-1,000 employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"GAMS, Mathematical Programming, OPL, and Optimization,Communication"
194,"Executive, CRM","1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Business Relationship Management, Campaign Effectiveness, Campaigns, Copywriting, Customer Experience, Digital Marketing, Digital Technology, Marketing Campaign Effectiveness, and Marketing Campaigns,Critical Thinking"
195,QA Engineer,"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/15/2023,"API Testing, Computer Science, Regression Testing, Software Testing, Test Automation, Test Cases, and Testing Process,Communication, Quality Assurance, and Test Planning"
196,Project Engineer,"501-1,000 employees ", Automation Machinery Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"AutoCAD, Communication, and Python (Programming Language),Customer Satisfaction, English, Mechatronics, Passionate about Work, Policies & Procedures, Project Plans, and Robotics"
197,IT Administrator,"10,001+ employees ", Chemical Manufacturing,Petaling Jaya, Selangor, Malaysia,12/18/2023,"Crisis Situations, IT Hardware Support, IT Solutions, Information Technology, Linux, Linux Server, Reliability, Troubleshooting, and Vocational Education,Communication"
198,Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/9/2024,"Administrative Processes, After-Sales, Enquiries, Finance, Marketing, Sales, and Sales Operations,Communication, Research Skills, and Teamwork"
199,Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Compilation Of Financial Statements, English, Manufacturing Process Improvement, Negotiation, and Team Leadership,Adobe Photoshop, Analytical Skills, Communication, Data Analysis, and Teamwork"
200,Building Engineering,"10,001+ employees ", Design Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Analyzer, ETAP, Finite Element Analysis (FEA), HVAC Design, L-Pile, Load Flow, Mechanical, Electrical, and Plumbing (MEP), Navisworks, and Soil-Structure Interaction,Electrical Engineering"
201,"Associate, PRS Operations Support",201-500 employees , Investment Management,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Anti-Money Laundering, Crisis Communications, Media Relations, Performance Management, Press Releases, Quality Assurance Standards, Strategic Communications, and Writing,Communication and Problem Solving"
202,AML Operation Analyst,"501-1,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/25/2023,"Anti-Money Laundering, Attention to Detail, Counter-Terrorist Financing, Interpersonal Skills, Transaction Monitoring, and Work Instructions,Analytical Skills, Communication, Data Analysis, and Research Skills"
203,Photo Collection and Annotation,"10,001+ employees ", IT Services and IT Consulting,Klang, Selangor, Malaysia,12/11/2023,"Teamwork,Android, Annotation, Defining Requirements, Desktop Computers, English, Google Photos, Phone Manner, Photography, and Remote Control"
